YYYYMMDDHH FOGO
2010060818 0
2010060900 0
2010060906 0
2010060912 0
2010060918 6
2010061000 0
2010061006 0
2010061012 0
2010061018 0
2010061100 0
2010061106 0
2010061112 2
2010061118 7
2010061200 3
2010061206 0
2010061212 0
2010061218 0
2010061300 0
2010061306 0
2010061312 0
2010061318 0
2010061400 0
2010061406 1
2010061412 0
2010061418 1
2010061500 0
2010061506 0
2010061512 4
2010061518 1
2010061600 2
2010061606 0
2010061612 1
2010061618 14
2010061700 0
2010061706 0
2010061712 0
2010061718 9
2010061800 0
2010061806 0
2010061812 6
2010061818 14
2010061900 1
2010061906 0
2010061912 0
2010061918 6
2010062000 1
2010062006 0
2010062012 2
2010062018 2
2010062100 1
2010062106 0
2010062112 0
2010062118 6
2010062200 0
2010062206 0
2010062212 4
2010062218 3
2010062300 0
2010062306 0
2010062312 1
2010062318 11
2010062400 0
2010062406 0
2010062412 4
2010062418 0
2010062500 0
2010062506 0
2010062512 1
2010062518 2
2010062600 0
2010062606 0
2010062612 0
2010062618 4
2010062700 0
2010062706 0
2010062712 1
2010062718 2
2010062800 0
2010062806 0
2010062812 1
2010062818 8
2010062900 0
2010062906 0
2010062912 2
2010062918 9
2010063000 2
2010063006 0
2010063012 0
2010063018 8
2010070100 0
2010070106 0
2010070112 5
2010070118 0
2010070200 0
2010070206 0
2010070212 0
2010070218 1
2010070300 0
2010070306 0
2010070312 0
2010070318 3
2010070400 0
2010070406 0
2010070412 0
2010070418 8
2010070500 0
2010070506 3
2010070512 0
2010070518 0
2010070600 0
2010070606 0
2010070612 0
2010070618 2
2010070700 0
2010070706 0
2010070712 0
2010070718 8
2010070800 0
2010070806 0
2010070812 3
2010070818 0
2010070900 0
2010070906 0
2010070912 0
2010070918 3
2010071000 0
2010071006 0
2010071012 5
2010071018 0
2010071100 0
2010071106 0
2010071112 1
2010071118 2
2010071200 0
2010071206 0
2010071212 1
2010071218 1
2010071300 0
2010071306 0
2010071312 3
2010071318 14
2010071400 0
2010071406 0
2010071412 0
2010071418 6
2010071500 0
2010071506 0
2010071512 9
2010071518 2
2010071600 0
2010071606 0
2010071612 0
2010071618 5
2010071700 0
2010071706 0
2010071712 4
2010071718 0
2010071800 1
2010071806 0
2010071812 0
2010071818 16
2010071900 0
2010071906 0
2010071912 0
2010071918 0
2010072000 2
2010072006 1
2010072012 3
2010072018 16
2010072100 3
2010072106 1
2010072112 0
2010072118 23
2010072200 0
2010072206 0
2010072212 9
2010072218 2
2010072300 1
2010072306 0
2010072312 0
2010072318 16
2010072400 0
2010072406 0
2010072412 6
2010072418 3
2010072500 0
2010072506 0
2010072512 0
2010072518 9
2010072600 0
2010072606 0
2010072612 1
2010072618 0
2010072700 0
2010072706 0
2010072712 0
2010072718 8
2010072800 0
2010072806 0
2010072812 0
2010072818 3
2010072900 2
2010072906 0
2010072912 2
2010072918 3
2010073000 0
2010073006 0
2010073012 0
2010073018 15
2010073100 0
2010073106 0
2010073112 11
2010073118 2
2010080100 1
2010080106 0
2010080112 1
2010080118 32
2010080200 0
2010080206 0
2010080212 3
2010080218 3
2010080300 1
2010080306 3
2010080312 2
2010080318 33
2010080400 1
2010080406 0
2010080412 4
2010080418 2
2010080500 0
2010080506 0
2010080512 7
2010080518 21
2010080600 0
2010080606 0
2010080612 4
2010080618 33
2010080700 0
2010080706 0
2010080712 7
2010080718 12
2010080800 2
2010080806 0
2010080812 0
2010080818 36
2010080900 0
2010080906 0
2010080912 11
2010080918 10
2010081000 6
2010081006 3
2010081012 4
2010081018 55
2010081100 3
2010081106 0
2010081112 3
2010081118 0
2010081200 2
2010081206 1
2010081212 1
2010081218 25
2010081300 1
2010081306 0
2010081312 3
2010081318 8
2010081400 0
2010081406 0
2010081412 7
2010081418 16
2010081500 1
2010081506 0
2010081512 0
2010081518 27
2010081600 0
2010081606 3
2010081612 3
2010081618 4
2010081700 5
2010081706 2
2010081712 4
2010081718 36
2010081800 0
2010081806 0
2010081812 10
2010081818 0
2010081900 1
2010081906 2
2010081912 3
2010081918 33
2010082000 0
2010082006 0
2010082012 4
2010082018 11
2010082100 1
2010082106 0
2010082112 10
2010082118 27
2010082200 3
2010082206 0
2010082212 1
2010082218 36
2010082300 0
2010082306 1
2010082312 10
2010082318 28
2010082400 3
2010082406 0
2010082412 0
2010082418 42
2010082500 2
2010082506 0
2010082512 11
2010082518 7
2010082600 2
2010082606 1
