YYYYMMDDHH air2m
2000081612 302.432
2000081618 294.575
2000081700 289.607
2000081706 291.621
2000081712 300.96
2000081718 294.149
2000081800 289.158
2000081806 291.368
2000081812 302.112
2000081818 293.624
2000081900 289.664
2000081906 291.988
2000081912 302.812
2000081918 294.858
2000082000 289.904
2000082006 291.404
2000082012 301.816
2000082018 294.529
2000082100 289.617
2000082106 292.159
2000082112 302.159
2000082118 294.562
2000082200 289.829
2000082206 292.226
2000082212 302.494
2000082218 294.963
2000082300 289.819
2000082306 292.986
2000082312 303.314
2000082318 295.81
2000082400 291.198
2000082406 294.347
2000082412 305.172
2000082418 295.907
2000082500 292.28
2000082506 294.678
2000082512 306.372
2000082518 297.663
2000082600 293.268
2000082606 295.388
2000082612 306.566
2000082618 298.033
2000082700 294.507
2000082706 295.84
2000082712 307.312
2000082718 298.331
2000082800 294.24
2000082806 295.985
2000082812 307.847
2000082818 299.695
2000082900 295.21
2000082906 297.467
2000082912 308.327
2000082918 299.365
2000083000 294.954
2000083006 296.063
2000083012 302.88
2000083018 297.186
2000083100 293.215
2000083106 294.259
2000083112 302.683
2000083118 296.313
2000090100 292.168
2000090106 294.344
2000090112 304.014
2000090118 297.19
2000090200 292.775
2000090206 295.264
2000090212 305.077
2000090218 298.637
2000090300 294.755
2000090306 297.052
2000090312 304.964
2000090318 296.854
2000090400 292.981
2000090406 294.027
2000090412 299.726
2000090418 292.722
2000090500 290.217
2000090506 291.704
2000090512 300.281
2000090518 294.76
2000090600 290.731
2000090606 292.755
2000090612 300.859
2000090618 295.39
2000090700 291.933
2000090706 293.693
2000090712 299.954
2000090718 292.559
2000090800 289.375
2000090806 292.168
2000090812 300.804
2000090818 294.302
2000090900 290.597
2000090906 292.73
2000090912 300.725
2000090918 295.267
2000091000 291.428
2000091006 294.018
2000091012 302.272
2000091018 296.429
2000091100 291.703
2000091106 293.706
2000091112 303.33
2000091118 296.442
2000091200 291.471
2000091206 294.259
2000091212 304.073
2000091218 297.217
2000091300 292.779
2000091306 295.344
2000091312 305.473
2000091318 298.027
2000091400 293.547
2000091406 295.858
2000091412 303.962
2000091418 297.67
2000091500 293.436
