#YYYYMMDDHH,air2m,prate,soilw0-10cm,soilw10-200cm,FOGO
2000041106,293156,4.41139e-07,0.326548,0.328806,0
2000041112,296762,6.4646e-05,0.321542,0.328359,0
2000041118,292801,3.59914e-05,0.322737,0.327916,0
2000041200,290354,1.11127e-07,0.321741,0.32747,0
2000041206,293834,5.51135e-07,0.319745,0.326916,0
2000041212,297893,7.07821e-05,0.316184,0.326359,0
2000041218,293823,1.79741e-05,0.315727,0.325804,0
2000041300,292591,1.35911e-05,0.316287,0.32558,0
2000041306,294504,1.34592e-06,0.314629,0.325026,0
2000041312,299045,0.000106322,0.316477,0.324245,0
2000041318,294435,0.0001003,0.324132,0.3238,0
2000041400,293114,1.29752e-05,0.323495,0.323465,0
2000041406,294245,9.25458e-06,0.321176,0.323245,0
2000041412,298422,0.000161441,0.331125,0.322799,0
2000041418,294.19,0.000140952,0.341097,0.322907,0
2000041500,292834,1.13282e-05,0.335039,0.322794,0
2000041506,294189,2.12233e-05,0.331604,0.322573,0
2000041512,298864,7.78079e-05,0.326586,0.322128,0
2000041518,294291,8.10629e-05,0.328903,0.321792,0
2000041600,292.29,8.60914e-06,0.325593,0.321569,0
2000041606,293625,1.76353e-06,0.321604,0.321458,0
2000041612,298586,"0,05601",0.314947,0.320458,0
2000041618,293624,0.000107177,0.321041,0.320013,0
2000041700,292.08,0.0,0.318828,0.319678,0
2000041706,293.27,0.0,0.315506,0.319123,0
2000041712,298421,2.95926e-05,0.307415,0.318233,0
2000041718,292826,2.31332e-05,0.305865,0.318011,0
2000041800,291125,0.0,0.304758,0.317236,0
2000041806,293.46,1.09995e-07,0.303094,0.31679,0
2000041812,299076,5.33448e-06,0.294342,0.315568,0
2000041818,293437,1.02445e-05,0.293126,0.315014,0
2000041900,291558,1.47508e-05,0.294019,0.314346,0
2000041906,294512,5.04216e-06,0.293579,0.314014,0
2000041912,301303,6.71893e-06,0.286822,0.312683,0
2000041918,294213,1.09018e-05,0.286046,0.312017,0
2000042000,292.62,2.01281e-06,0.286377,0.311461,0
2000042006,295813,4.95653e-06,0.28582,0.310906,0
2000042012,302133,2.40944e-05,0.282365,0.309684,0
2000042018,295102,2.90024e-05,0.285225,0.308905,0
2000042100,293222,1.3388e-06,0.284785,0.308684,0
2000042106,296802,2.2246e-06,0.284233,0.30813,0
2000042112,300901,7.80946e-05,0.285841,0.30702,0
2000042118,294.76,0.000158907,0.302677,0.306242,0
2000042200,292982,1.97929e-05,0.306453,0.306022,0
2000042206,294875,5.8471e-05,0.315143,0.305577,0
2000042212,297958,0.000161664,0.327965,0.305245,0
2000042218,293698,5.4543e-05,0.329991,0.305138,0
2000042300,292631,2.76361e-05,0.329991,0.304697,0
2000042306,293949,2.65801e-05,0.327213,0.304588,0
2000042312,297872,6.10074e-05,0.318558,0.303813,0
2000042318,292996,4.15733e-05,0.317353,0.303372,0
2000042400,291763,3.36459e-07,0.312987,0.303043,0
2000042406,293225,2.2228e-07,0.309408,0.302822,0
2000042412,299426,2.38721e-05,0.300268,0.301605,0
2000042418,292696,2.20462e-05,0.298599,0.301161,0
2000042500,291.24,2.2228e-07,0.29759,0.300717,0
2000042506,292436,0.0,0.29569,0.300386,0
2000042512,298818,6.6175e-06,0.287656,0.298944,0
2000042518,291.15,1.26731e-05,0.285655,0.298165,0
2000042600,289616,3.31144e-07,0.285205,0.297832,0
2000042606,291792,1.77372e-06,0.283974,0.297277,0
2000042612,298275,3.35425e-07,0.278621,0.295946,0
2000042618,291514,2.67512e-06,0.27639,0.295169,0
2000042700,290903,6.99055e-06,0.27672,0.294946,0
2000042706,292968,2.22526e-06,0.275715,0.294279,0
2000042712,299369,0.0,0.272038,0.292948,0
2000042718,291868,1.34216e-05,0.270817,0.292169,0
2000042800,289737,7.77763e-06,0.270589,0.291836,0
2000042806,292134,2.23108e-06,0.27003,0.291281,0
2000042812,298858,1.26043e-05,0.268244,0.290059,0
2000042818,292.15,1.9035e-06,0.266463,0.289171,0
2000042900,290583,5.51186e-07,0.266569,0.289059,0
2000042906,293214,2.5466e-06,0.2659,0.288391,0
2000042912,299573,4.75585e-05,0.267105,0.287171,0
2000042918,292948,3.86535e-05,0.270741,0.286502,0
2000043000,291125,2.46753e-06,0.270518,0.285948,0
2000043006,293236,8.86585e-07,0.270073,0.285615,0
2000043012,298983,3.03651e-05,0.2683,0.284501,0
2000043018,292902,1.53148e-05,0.267519,0.283726,0
2000050100,290946,0.0,0.266963,0.283391,0
2000050106,292635,1.09995e-07,0.265963,0.282724,0
2000050112,299.15,1.14432e-05,0.263631,0.281726,0
2000050118,292679,3.44495e-05,0.264628,0.281057,0
2000050200,291024,7.74475e-07,0.264624,0.280612,0
2000050206,293248,1.12051e-06,0.263848,0.280057,0
2000050212,299651,1.66656e-05,0.262072,0.279167,0
2000050218,293594,8.58932e-06,0.261178,0.27839,0
2000050300,291048,2.99328e-06,0.261062,0.277835,0
2000050306,293403,1.12136e-07,0.260508,0.277502,0
2000050312,299628,2.38308e-05,0.25895,0.276278,0
2000050318,293093,1.32337e-05,0.259936,0.275832,0
2000050400,290025,1.09995e-07,0.259489,0.274944,0
2000050406,292236,3.33258e-07,0.259046,0.274722,0
2000050412,299398,2.28308e-05,0.257489,0.273497,0
2000050418,292373,1.12136e-07,0.256381,0.272832,0
2000050500,290162,0.0,0.255715,0.272387,0
2000050506,292527,1.11127e-07,0.255159,0.272056,0
