YYYYMMDDHH prate
2011061518 0.0
2011061600 1.87478e-06
2011061606 1.76803e-06
2011061612 3.34416e-07
2011061618 0.0
2011061700 0.0
2011061706 1.11127e-07
2011061712 0.0
2011061718 6.66892e-07
2011061800 2.10959e-06
2011061806 1.11127e-07
2011061812 1.03857e-05
2011061818 2.2228e-07
2011061900 1.11127e-07
2011061906 1.11127e-07
2011061912 0.0
2011061918 0.0
2011062000 0.0
2011062006 0.0
2011062012 0.0
2011062018 0.0
2011062100 0.0
2011062106 0.0
2011062112 0.0
2011062118 0.0
2011062200 0.0
2011062206 1.11127e-07
2011062212 0.0
2011062218 0.0
2011062300 0.0
2011062306 0.0
2011062312 0.0
2011062318 0.0
2011062400 0.0
2011062406 2.20017e-07
2011062412 0.0
2011062418 0.0
2011062500 1.10016e-06
2011062506 9.9127e-07
2011062512 3.31144e-07
2011062518 0.0
2011062600 0.0
2011062606 0.0
2011062612 0.0
2011062618 0.0
2011062700 1.12136e-07
2011062706 1.12136e-07
2011062712 0.0
2011062718 0.0
2011062800 0.0
2011062806 0.0
2011062812 0.0
2011062818 6.60101e-07
2011062900 1.38987e-05
2011062906 4.44102e-06
2011062912 3.39556e-05
2011062918 2.25218e-05
2011063000 4.90032e-06
2011063006 4.65904e-06
2011063012 0.0
2011063018 1.12136e-07
2011070100 5.22221e-06
2011070106 1.89225e-06
2011070112 0.0
2011070118 0.0
2011070200 2.2228e-07
2011070206 7.76887e-07
2011070212 0.0
2011070218 0.0
2011070300 1.11436e-06
2011070306 4.12732e-06
2011070312 0.0
2011070318 0.0
2011070400 5.60783e-07
2011070406 1.12159e-06
2011070412 0.0
2011070418 0.0
2011070500 1.09995e-07
2011070506 2.32604e-06
2011070512 0.0
2011070518 0.0
2011070600 1.33024e-06
2011070606 0.0
2011070612 0.0
2011070618 0.0
2011070700 0.0
2011070706 0.0
2011070712 0.0
2011070718 0.0
2011070800 0.0
2011070806 1.21021e-06
2011070812 0.0
2011070818 2.20017e-07
2011070900 6.83595e-06
2011070906 4.43428e-07
2011070912 1.11127e-07
2011070918 0.0
2011071000 5.50054e-07
2011071006 1.33206e-06
2011071012 0.0
2011071018 0.0
2011071100 9.9678e-07
2011071106 3.34416e-07
2011071112 0.0
2011071118 0.0
2011071200 5.51186e-07
2011071206 2.21607e-06
2011071212 0.0
2011071218 0.0
2011071300 0.0
2011071306 0.0
2011071312 0.0
2011071318 0.0
2011071400 0.0
2011071406 0.0
2011071412 0.0
2011071418 0.0
2011071500 0.0
2011071506 0.0
2011071512 0.0
2011071518 0.0
2011071600 3.35425e-07
2011071606 2.01278e-06
2011071612 0.0
2011071618 0.0
2011071700 2.20017e-07
2011071706 2.23263e-07
2011071712 0.0
2011071718 0.0
2011071800 0.0
2011071806 0.0
2011071812 0.0
2011071818 0.0
2011071900 5.5345e-07
2011071906 5.5008e-07
2011071912 0.0
2011071918 0.0
2011072000 0.0
2011072006 0.0
2011072012 0.0
2011072018 0.0
2011072100 9.90139e-07
2011072106 0.0
2011072112 0.0
2011072118 0.0
2011072200 4.42297e-07
2011072206 1.11035e-06
2011072212 0.0
2011072218 0.0
2011072300 0.0
2011072306 0.0
2011072312 0.0
2011072318 0.0
2011072400 4.84309e-06
2011072406 5.611e-06
2011072412 1.51828e-05
2011072418 7.50345e-06
2011072500 1.23728e-05
2011072506 9.96987e-06
2011072512 5.28096e-06
2011072518 1.20269e-05
2011072600 1.39741e-05
2011072606 2.64474e-06
2011072612 3.30012e-07
2011072618 4.65666e-06
2011072700 6.74275e-06
2011072706 2.20017e-07
2011072712 0.0
2011072718 0.0
2011072800 2.44027e-06
2011072806 4.43403e-07
2011072812 0.0
2011072818 0.0
2011072900 0.0
2011072906 0.0
2011072912 0.0
2011072918 0.0
2011073000 2.24298e-07
